City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Busselton,AU,-33.65,115.33,64.99,63,57,4.0,broken clouds
1,Vaini,TO,-21.2,-175.2,80.6,74,20,13.87,few clouds
2,Madera,US,37.17,-119.83,66.0,41,0,4.18,clear sky
3,Rikitea,PF,-23.12,-134.97,72.68,80,23,18.79,few clouds
4,Ushuaia,AR,-54.8,-68.3,51.8,50,75,13.87,broken clouds
5,Kaitangata,NZ,-46.28,169.85,63.0,76,0,7.0,clear sky
6,Oshawa,CA,43.9,-78.85,41.0,65,90,9.17,overcast clouds
7,Berkak,NO,62.83,10.01,39.99,67,68,1.01,broken clouds
8,Provideniya,RU,64.38,-173.3,17.06,86,3,4.23,clear sky
9,Punta Arenas,CL,-53.15,-70.92,44.6,93,90,11.41,light rain
10,Hilo,US,19.73,-155.09,84.2,66,40,9.17,scattered clouds
11,Nisia Floresta,BR,-6.09,-35.21,78.8,83,40,9.17,scattered clouds
12,Pimentel,PE,-6.84,-79.93,62.26,87,22,9.93,few clouds
13,Airai,TL,-8.93,125.41,82.31,32,97,5.48,overcast clouds
14,Port Alfred,ZA,-33.59,26.89,68.4,89,96,6.51,overcast clouds
15,Khatanga,RU,71.97,102.5,-0.53,93,96,6.11,overcast clouds
16,Bluff,NZ,-46.6,168.33,72.0,55,0,11.01,clear sky
17,Havre-Saint-Pierre,CA,50.23,-63.6,17.6,78,20,9.17,few clouds
18,Westport,US,41.14,-73.36,43.0,55,20,6.93,few clouds
19,Richards Bay,ZA,-28.78,32.04,70.27,85,23,7.45,few clouds
20,Leningradskiy,RU,69.38,178.42,4.39,84,15,12.39,few clouds
21,Flinders,AU,-34.58,150.86,80.01,59,73,4.0,broken clouds
22,Broken Hill,AU,-31.95,141.43,77.0,47,75,14.99,broken clouds
23,Lebu,CL,-37.62,-73.65,52.93,84,71,3.33,broken clouds
24,Barrow,US,71.29,-156.79,12.2,85,90,9.17,overcast clouds
25,Yellowknife,CA,62.46,-114.35,3.2,84,90,5.82,light snow
26,Qaanaaq,GL,77.48,-69.36,-0.58,78,68,1.39,broken clouds
27,Kavieng,PG,-2.57,150.8,85.87,69,100,4.83,light rain
28,Hobart,AU,-42.88,147.33,69.8,43,75,17.22,broken clouds
29,Mataura,NZ,-46.19,168.86,70.0,61,25,13.0,scattered clouds
30,Tual,ID,-5.67,132.75,81.36,80,93,13.62,overcast clouds
31,Ahipara,NZ,-35.17,173.17,66.92,77,100,12.88,heavy intensity rain
32,Severo-Kurilsk,RU,50.68,156.12,41.63,72,3,14.16,clear sky
33,Ler,SS,8.3,30.14,74.82,76,57,1.88,broken clouds
34,Lagoa,PT,39.05,-27.98,61.3,66,93,14.65,overcast clouds
35,Pacific Grove,US,36.62,-121.92,57.2,71,1,4.7,clear sky
36,Aklavik,CA,68.22,-135.01,5.0,77,98,3.36,overcast clouds
37,Cabo San Lucas,MX,22.89,-109.91,78.01,83,5,10.29,clear sky
38,Cidreira,BR,-30.18,-50.21,61.11,78,1,11.65,clear sky
