City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ushuaia,AR,2020-11-02 21:17:06,-54.8,-68.3,60.8,55,20,4.7
1,Port Alfred,ZA,2020-11-02 21:17:55,-33.59,26.89,66.87,81,40,20.71
2,Bredasdorp,ZA,2020-11-02 21:17:56,-34.53,20.04,66.2,82,37,12.75
3,Mataura,NZ,2020-11-02 21:17:56,-46.19,168.86,53.01,78,63,4.0
4,Rikitea,PF,2020-11-02 21:17:56,-23.12,-134.97,72.18,80,6,18.21
5,Kodiak,US,2020-11-02 21:17:56,57.79,-152.41,28.4,50,1,12.75
6,Albany,US,2020-11-02 21:15:30,42.6,-73.97,37.0,60,0,1.99
7,Punta Arenas,CL,2020-11-02 21:17:57,-53.15,-70.92,55.4,58,75,8.05
8,Kaitangata,NZ,2020-11-02 21:17:57,-46.28,169.85,57.0,63,33,3.0
9,Fernie,CA,2020-11-02 21:17:57,49.5,-115.07,57.2,26,0,13.87
10,Kongoussi,BF,2020-11-02 21:17:58,13.33,-1.53,80.44,17,67,4.99
11,Hermanus,ZA,2020-11-02 21:17:58,-34.42,19.23,64.99,84,1,8.99
12,Quesnel,CA,2020-11-02 21:17:58,53.0,-122.5,53.6,46,90,11.41
13,Tiksi,RU,2020-11-02 21:17:58,71.69,128.87,0.41,89,100,4.43
14,Torbay,CA,2020-11-02 21:17:59,47.67,-52.73,55.99,100,90,41.38
15,Airai,TL,2020-11-02 21:17:59,-8.93,125.41,61.32,61,77,1.92
16,Puerto Escondido,MX,2020-11-02 21:14:07,15.85,-97.07,86.0,66,75,10.29
17,Port Elizabeth,ZA,2020-11-02 21:17:59,-33.92,25.57,64.4,88,0,14.99
18,Iqaluit,CA,2020-11-02 21:18:00,63.75,-68.51,17.6,67,75,18.34
19,Puerto Ayora,EC,2020-11-02 21:18:00,-0.74,-90.35,80.6,61,75,16.11
20,Te Anau,NZ,2020-11-02 21:18:00,-45.42,167.72,53.55,60,54,0.67
21,Kapaa,US,2020-11-02 21:18:00,22.08,-159.32,78.8,83,75,6.93
22,Batagay-Alyta,RU,2020-11-02 21:18:01,67.8,130.41,-8.18,83,96,2.35
23,Ust-Maya,RU,2020-11-02 21:18:01,60.42,134.53,-8.09,87,0,8.9
24,Tasiilaq,GL,2020-11-02 21:18:02,65.61,-37.64,32.0,80,0,2.24
25,Talnakh,RU,2020-11-02 21:18:02,69.49,88.4,15.8,92,100,2.24
26,Busselton,AU,2020-11-02 21:18:02,-33.65,115.33,55.99,85,74,10.54
27,Saint Anthony,US,2020-11-02 21:18:02,45.02,-93.22,59.0,47,1,10.29
28,Aswan,EG,2020-11-02 21:18:02,24.09,32.91,72.27,43,0,12.66
29,Le Port,RE,2020-11-02 21:18:03,-20.94,55.29,69.8,60,90,9.17
30,Bodmin,GB,2020-11-02 21:18:03,50.47,-4.72,50.0,66,0,10.29
31,Inhambane,MZ,2020-11-02 21:18:03,-23.86,35.38,71.78,78,2,6.87
32,Jamestown,US,2020-11-02 21:18:04,42.1,-79.24,37.0,69,90,17.22
33,Waynesville,US,2020-11-02 21:16:04,35.49,-82.99,46.0,18,0,1.01
34,Nianzishan,CN,2020-11-02 21:18:04,47.52,122.88,18.63,76,0,7.87
35,Saint-Georges,GD,2020-11-02 21:15:58,12.06,-61.75,81.63,78,65,15.03
36,Tuktoyaktuk,CA,2020-11-02 21:18:05,69.45,-133.04,6.8,84,90,14.99
37,Cockburn Town,TC,2020-11-02 21:18:06,21.46,-71.14,84.2,66,40,11.41
38,Shitanjing,CN,2020-11-02 21:18:06,39.23,106.34,33.57,69,0,4.52
39,Santiago Del Estero,AR,2020-11-02 21:13:19,-27.8,-64.26,88.2,21,0,9.78
40,Atuona,PF,2020-11-02 21:18:07,-9.8,-139.03,77.52,76,22,20.11
41,Fairbanks,US,2020-11-02 21:18:07,64.84,-147.72,-7.6,83,75,1.5
42,Kefalos,GR,2020-11-02 21:18:08,36.75,26.96,64.4,63,0,11.41
43,Roznov,RO,2020-11-02 21:18:08,46.83,26.52,46.0,83,100,4.0
44,Qaanaaq,GL,2020-11-02 21:18:08,77.48,-69.36,6.24,79,100,6.69
45,Kavieng,PG,2020-11-02 21:18:09,-2.57,150.8,83.57,72,12,4.36
46,Bambous Virieux,MU,2020-11-02 21:18:10,-20.34,57.76,69.8,77,75,11.41
47,Dalbandin,PK,2020-11-02 21:18:10,28.89,64.41,53.24,25,0,4.07
48,Barrow,US,2020-11-02 21:18:10,71.29,-156.79,28.4,79,90,10.29
49,Hithadhoo,MV,2020-11-02 21:18:11,-0.6,73.08,82.94,74,83,11.07
50,Tambo,PE,2020-11-02 21:18:12,-14.8,-73.92,46.9,49,33,12.59
51,New Norfolk,AU,2020-11-02 21:18:12,-42.78,147.06,66.0,37,99,1.01
52,Vershino-Shakhtaminskiy,RU,2020-11-02 21:18:13,51.3,117.89,2.88,88,0,4.05
53,Walvis Bay,NA,2020-11-02 21:18:13,-22.96,14.51,60.01,77,96,5.82
54,Castro,BR,2020-11-02 21:17:34,-24.79,-50.01,64.13,57,9,2.04
55,Bluff,NZ,2020-11-02 21:18:14,-46.6,168.33,53.01,78,38,4.0
56,Cape Town,ZA,2020-11-02 21:13:34,-33.93,18.42,68.0,82,0,8.05
57,Mhlume,SZ,2020-11-02 21:18:14,-26.03,31.85,69.8,83,52,3.36
58,Dikson,RU,2020-11-02 21:18:15,73.51,80.55,15.24,97,100,10.02
59,Beyneu,KZ,2020-11-02 21:18:15,45.32,55.2,52.32,41,16,16.11
60,Thompson,CA,2020-11-02 21:18:16,55.74,-97.86,23.0,79,90,6.93
61,Narsaq,GL,2020-11-02 21:18:16,60.92,-46.05,24.8,45,91,11.41
62,Tabuk,PH,2020-11-02 21:18:16,17.42,121.44,72.88,91,100,5.79
63,Provideniya,RU,2020-11-02 21:18:16,64.38,-173.3,30.2,68,75,11.18
64,Williston,US,2020-11-02 21:18:17,48.15,-103.62,68.0,35,0,1.01
65,Srednekolymsk,RU,2020-11-02 21:18:17,67.45,153.68,-10.5,86,0,9.1
66,Kasongo-Lunda,CD,2020-11-02 21:18:17,-6.47,16.82,71.22,92,99,1.19
67,Adrar,MR,2020-11-02 21:18:17,20.5,-10.07,83.73,15,100,10.2
68,Khatanga,RU,2020-11-02 21:18:18,71.97,102.5,11.7,96,100,8.34
69,Geraldton,AU,2020-11-02 21:18:18,-28.77,114.6,59.0,93,40,5.82
70,Vaini,TO,2020-11-02 21:18:18,-21.2,-175.2,77.0,88,75,11.41
71,Berkakit,RU,2020-11-02 21:18:18,56.58,124.77,-11.15,88,89,4.99
72,Yulara,AU,2020-11-02 21:18:19,-25.24,130.99,75.2,23,19,4.7
73,Sola,VU,2020-11-02 21:18:19,-13.88,167.55,78.37,81,100,4.36
74,Innisfail,AU,2020-11-02 21:13:40,-17.53,146.03,77.61,80,8,7.99
